スリークォーターバックス	three|quarter|backs	TH_R_IY1|K_W_AO1_R_T_ER0|B_AE1_K_S
メジャーセブンス	major|seventh	M_EY1_JH_ER0|S_EH1_V_AH0_N_TH
セールス	sales	S_EY1_L_Z
ミルキングアクション	milking|action	M_IH1_L_K_IH0_NG|AE1_K_SH_AH0_N
サドル	saddle	S_AE1_D_AH0_L
ジェンダー	gender	JH_EH1_N_D_ER0
マルチプロセッサシステム	multiprocessor|system	M_AH2_L_T_IY0_P_R_AA1_S_EH2_S_ER0|S_IH1_S_T_AH0_M
インターネットショップ	internet|shop	IH1_N_T_ER0_N_EH2_T|SH_AA1_P
リザベーション	reservation	R_EH2_Z_ER0_V_EY1_SH_AH0_N
アミューズブッシュ	amuse|bouche	AH0_M_Y_UW1_Z|B_AW1_CH
バンドエイド	band|aid	B_AE1_N_D|EY1_D
パワースポット	power|spot	P_AW1_ER0|S_P_AA1_T
オープンカー	open|car	OW1_P_AH0_N|K_AA1_R
チーフオフィサー	chief|officer	CH_IY1_F|AO1_F_AH0_S_ER0
ゴリラ	gorilla	G_ER0_IH1_L_AH0
マスクカバー	mask|cover	M_AE1_S_K|K_AH1_V_ER0
レッカー	wrecker	R_EH1_K_ER0
レパートリ	repertory	R_EH1_P_ER0_T_AO2_R_IY0
リージョナルコード	regional|code	R_IY1_JH_AH0_N_AH0_L|K_OW1_D
ウェブマスター	webmaster	W_EH1_B_M_AE2_S_T_ER0
デリバリー	delivery	D_IH0_L_IH1_V_ER0_IY0
タイスキ	thai|suki	T_AY1|S_UW1_K_IY0
ムードミュージック	mood|music	M_UW1_D|M_Y_UW1_Z_IH0_K
エクイティーファイナンス	equity|finance	EH1_K_W_AH0_T_IY0|F_AH0_N_AE1_N_S
ミズーリ	missouri	M_AH0_Z_UH1_R_IY0
カードデック	card|deck	K_AA1_R_D|D_EH1_K
ギャルゲーム	gal|game	G_AE1_L|G_EY1_M
メガロマニア	megalomania	M_EH2_G_AH0_L_OW0_M_EY1_N_IY0_AH0
ソフトウエアメーカ	software|maker	S_AO1_F_T_W_EH2_R|M_EY1_K_ER0
キャリアオイル	carrier|oil	K_AE1_R_IY0_ER0|OY1_L
トロピカルフルーツ	tropical|fruits	T_R_AA1_P_IH0_K_AH0_L|F_R_UW1_T_S
スーベニアショップ	souvenir|shop	S_UW2_V_AH0_N_IH1_R|SH_AA1_P
ソリッドタイヤ	solid|tire	S_AA1_L_AH0_D|T_AY1_ER0
バインダー	binder	B_AY1_N_D_ER0
プロモ	promo	P_R_OW1_M_OW2
マリンバ	marimba	M_ER0_IH1_M_B_AH0
クラリティ	clarity	K_L_EH1_R_AH0_T_IY0
エスプレッソメーカー	espresso|maker	EH2_S_P_R_EH1_S_OW0|M_EY1_K_ER0
ロー	law	L_AO1
ヒル	hill	HH_IH1_L
バッティング	batting	B_AE1_T_IH0_NG
ディスプレイモデル	display|model	D_IH0_S_P_L_EY1|M_AA1_D_AH0_L
グラウチング	grouting	G_R_AW1_T_IH0_NG
スネークアウト	sneak|out	S_N_IY1_K|AW1_T
タジキスタン	tajikistan	T_AA2_JH_IY1_K_IH0_S_T_AE2_N
アナル	anal	EY1_N_AH0_L
ウインドヤッケ	wind|jacket	W_AY1_N_D|JH_AE1_K_AH0_T
ガボン	gabon	G_AH0_B_AA1_N
ランレングス	run|length	R_AH1_N|L_EH1_NG_K_TH
スマートカード	smart|card	S_M_AA1_R_T|K_AA1_R_D
クロスチェックファン	cross|check|fan	K_R_AO1_S|CH_EH1_K|F_AE1_N
ショートスカート	short|skirt	SH_AO1_R_T|S_K_ER1_T
ミサイル	missile	M_IH1_S_AH0_L
スタディレポート	study|report	S_T_AH1_D_IY0|R_IY0_P_AO1_R_T
ベルベット	velvet	V_EH1_L_V_AH0_T
ケアハウス	care|house	K_EH1_R|HH_AW1_S
セキュリティシステム	security|system	S_IH0_K_Y_UH1_R_AH0_T_IY0|S_IH1_S_T_AH0_M
フルーツビネガー	fruits|vinegar	F_R_UW1_T_S|V_IH1_N_AH0_G_ER0
シノニム	synonym	S_IH1_N_AH0_N_IH2_M
オーサー	author	AO1_TH_ER0
イニシアティブ	initiative	IH2_N_IH1_SH_AH0_T_IH0_V
システムアナリシス	system|analysis	S_IH1_S_T_AH0_M|AE0_N_AE1_L_IH0_S_IH0_S
システムネットワークアーキテクチャ	system|network|architecture	S_IH1_S_T_AH0_M|N_EH1_T_W_ER2_K|AA1_R_K_AH0_T_EH2_K_CH_ER0
ナショナルミニマム	national|minimum	N_AE1_SH_AH0_N_AH0_L|M_IH1_N_AH0_M_AH0_M
アーギュメント	argument	AA1_R_G_Y_AH0_M_AH0_N_T
イデオロギー	ideology	AY2_D_IY0_AA1_L_AH0_JH_IY0
セクスティング	sexting	S_EH1_K_S_T_IH2_NG
シニシズム	cynicism	S_IH1_N_IH0_S_IH2_Z_AH0_M
オーダーストップ	order|stop	AO1_R_D_ER0|S_T_AA1_P
ビームアンテナ	beam|antenna	B_IY1_M|AE0_N_T_EH1_N_AH0
フールプルーフ	fool|proof	F_UW1_L|P_R_UW1_F
カードエッジコネクタ	card|connector	K_AA1_R_D|K_AH0_N_EH1_K_T_ER0
マイクロチップ	microchip	M_AY1_K_R_OW2_CH_IH1_P
セーフティーコーン	safety|cone	S_EY1_F_T_IY0|K_OW1_N
アノードスライム	anode|slime	AE1_N_OW2_D|S_L_AY1_M
シャトー	chateau	SH_AE0_T_OW1
シューティングスター	shooting|star	SH_UW1_T_IH0_NG|S_T_AA1_R
セーラー	sailor	S_EY1_L_ER0
シェケル	shekel	SH_EH1_K_AH0_L
ヒューマンアセスメント	human|assessment	HH_Y_UW1_M_AH0_N|AH0_S_EH1_S_M_AH0_N_T
バブルサッカー	bubble|soccer	B_AH1_B_AH0_L|S_AA1_K_ER0
ファーネス	furnace	F_ER1_N_AH0_S
ライフベスト	life|vest	L_AY1_F|V_EH1_S_T
パンパスグラス	pampas|grass	P_AE1_M_P_AH0_Z|G_R_AE1_S
シーソーポリシー	seesaw|policy	S_IY1_S_AO2|P_AA1_L_AH0_S_IY0
レッグ	leg	L_EH1_G
プリーズ	please	P_L_IY1_Z
テレグラフ	telegraph	T_EH1_L_AH0_G_R_AE2_F
ミニマルアート	minimal|art	M_IH1_N_AH0_M_AH0_L|AA1_R_T
パシュート	pursuit	P_ER0_S_UW1_T
タフタ	taffeta	T_AE1_F_AH0_T_AH0
アナログデジタル	analog|digital	AE1_N_AH0_L_AO2_G|D_IH1_JH_AH0_T_AH0_L
ジャイロコンパス	gyrocompass	JH_AY1_R_OW0_K_AH2_M_P_AH0_S
テンデンシー	tendency	T_EH1_N_D_AH0_N_S_IY0
アポストロフィー	apostrophe	AH0_P_AA1_S_T_R_AH0_F_IY2
アフリカーンス	afrikaans	AE2_F_R_AH0_K_AA1_N_Z
デプロイメント	deployment	D_IH0_P_L_OY1_M_AH0_N_T
スープカレー	soup|curry	S_UW1_P|K_AH1_R_IY0
ビーチ	beach	B_IY1_CH
ドミナ	domina	D_OW0_M_IY1_N_AH0
レチナール	retinal	R_EH1_T_AH0_N_AH0_L
ノーズ	nose	N_OW1_Z
ポンポンダリア	pompon|dahlia	P_AA1_M_P_AA2_N|D_AE1_L_Y_AH0
シーチング	sheeting	SH_IY1_T_IH0_NG
トレジャーハンター	treasure|hunter	T_R_EH1_ZH_ER0|HH_AH1_N_T_ER0
サンディエゴ	san|diego	S_AE1_N|D_IY0_EY1_G_OW0
オブジェクトモデリングツール	object|modeling|tool	AA1_B_JH_EH0_K_T|M_AA1_D_AH0_L_IH2_NG|T_UW1_L
トラックアットワンス	track|at|once	T_R_AE1_K|AE1_T|W_AH1_N_S
トリプルスチール	triple|steal	T_R_IH1_P_AH0_L|S_T_IY1_L
ネットリテラシー	net|literacy	N_EH1_T|L_IH1_T_ER0_AH0_S_IY0
スパイスカレー	spice|curry	S_P_AY1_S|K_AH1_R_IY0
プロフィット	profit	P_R_AA1_F_AH0_T
サーチエンジン	search|engine	S_ER1_CH|EH1_N_JH_AH0_N
スコープノート	scope|note	S_K_OW1_P|N_OW1_T
シーザー	caesar	S_IY1_Z_ER0
ウォータースパニエル	water|spaniel	W_AO1_T_ER0|S_P_AE1_N_Y_AH0_L
マイフェイバリットソング	my|favourite|song	M_AY1|F_EY1_V_ER0_IH0_T|S_AO1_NG
リターンパス	return|pass	R_IH0_T_ER1_N|P_AE1_S
オーファンドラッグ	orphan|drug	AO1_R_F_AH0_N|D_R_AH1_G
キーパッド	keypad	K_IY1_P_AE2_D
イマジニアリング	imagineering	IH2_M_AE2_JH_AH0_N_IH1_R_IH0_NG
コンテスト	contest	K_AA1_N_T_EH0_S_T
イコノグラフィー	iconography	AY2_K_AH0_N_AA1_G_R_AH0_F_IY0
ラチチュード	latitude	L_AE1_T_AH0_T_UW2_D
ロッテリー	lottery	L_AA1_T_ER0_IY0
スパッタリング	spattering	S_P_AE1_T_ER0_IH0_NG
アイランドグレゴリー	island|gregory	AY1_L_AH0_N_D|G_R_EH1_G_ER0_IY0
バルク	bulk	B_AH1_L_K
フォックス	fox	F_AA1_K_S
ユーロビート	euro|beat	Y_UW1_R_OW0|B_IY1_T
スポーツファン	sports|fan	S_P_AO1_R_T_S|F_AE1_N
ボウイング	bowing	B_OW1_IH0_NG
プロショップ	pro|shop	P_R_OW1|SH_AA1_P
ビッグニュース	big|news	B_IH1_G|N_UW1_Z
リグレット	regret	R_AH0_G_R_EH1_T
デキャンティング	decanting	D_AH0_K_AE1_N_T_IH0_NG
リワインド	rewind	R_IY1_W_AY0_N_D
ルーザー	loser	L_UW1_Z_ER0
キー	key	K_IY1
リーク	leak	L_IY1_K
ストックフォト	stock|photo	S_T_AA1_K|F_OW1_T_OW2
ポーチドエッグ	poached|egg	P_OW1_CH_T|EH1_G
コーヒーマグ	coffee|mug	K_AA1_F_IY0|M_AH1_G
パレット	palette	P_AE1_L_AH0_T
カルボナーラ	carbonara	K_AA0_R_B_OW0_N_AA1_R_AH0
アダプタカード	adaptor|card	AH0_D_AE1_P_T_ER0|K_AA1_R_D
スポーツマーケティング	sports|marketing	S_P_AO1_R_T_S|M_AA1_R_K_AH0_T_IH0_NG
ウッド	wood	W_UH1_D
ネーミングライツ	naming|rights	N_EY1_M_IH0_NG|R_AY1_T_S
パージング	parsing	P_AA1_R_S_IH0_NG
ジュニアブラ	junior|bra	JH_UW1_N_Y_ER0|B_R_AA1
シンボル	symbol	S_IH1_M_B_AH0_L
スロープ	slope	S_L_OW1_P
ブラックベリー	blackberry	B_L_AE1_K_B_EH2_R_IY0
ホリスティック	holistic	HH_OW0_L_IH1_S_T_IH0_K
アビエーション	aviation	EY2_V_IY0_EY1_SH_AH0_N
キーボードエンハンサ	keyboard|enhancer	K_IY1_B_AO2_R_D|EH0_N_HH_AE1_N_S_ER0
セックスアピール	sex|appeal	S_EH1_K_S|AH0_P_IY1_L
キーレスエントリー	keyless|entry	K_IY1_L_AH0_S|EH1_N_T_R_IY0
ノークラッチ	no|clutch	N_OW1|K_L_AH1_CH
コストインフレーション	cost|inflation	K_AA1_S_T|IH2_N_F_L_EY1_SH_AH0_N
カーボンマイクロホン	carbon|microphone	K_AA1_R_B_AH0_N|M_AY1_K_R_AH0_F_OW2_N
サブソサイエティ	sub|society	S_AH1_B|S_OW0_S_AY1_IH0_T_IY0
キャッチ	catch	K_AE1_CH
ベンチウォーマー	bench|warmer	B_EH1_N_CH|W_AO1_R_M_ER0
エクストリーム	extreme	IH0_K_S_T_R_IY1_M
マストアイテム	must|item	M_AH1_S_T|AY1_T_AH0_M
ノミナル	nominal	N_AA1_M_AH0_N_AH0_L
パープレー	par|play	P_AA1_R|P_L_EY1
ピアー	pier	P_IH1_R
ビューティ	beauty	B_Y_UW1_T_IY0
ジム	gym	JH_IH1_M
ミッシングリンク	missing|link	M_IH1_S_IH0_NG|L_IH1_NG_K
リュート	lute	L_UW1_T
ハワイアングレゴリー	hawaiian|gregory	HH_AH0_W_AY1_AH0_N|G_R_EH1_G_ER0_IY0
ディティクティブ	detective	D_IH0_T_EH1_K_T_IH0_V
シンフォニックジャズ	symphonic|jazz	S_IH0_M_F_AA1_N_IH0_K|JH_AE1_Z
アクションクエリ	action|query	AE1_K_SH_AH0_N|K_W_IY1_R_IY0
ワールドカップ	world|cup	W_ER1_L_D|K_AH1_P
ウーファー	woofer	W_UH1_F_ER0
イエスマン	yes|man	Y_EH1_S|M_AE1_N
ショートストーリー	short|story	SH_AO1_R_T|S_T_AO1_R_IY0
デタッチトコート	detached|coat	D_IH0_T_AE1_CH_T|K_OW1_T
ネーチャートレール	nature|trail	N_EY1_CH_ER0|T_R_EY1_L
インフェルノ	inferno	IH2_N_F_ER1_N_OW2
イラプション	eruption	IY2_R_AH1_P_SH_AH0_N
インタリーブ	interleave	IH2_N_T_ER0_L_IY1_V
ロータス	lotus	L_OW1_T_AH0_S
アイビス	ibis	AY1_B_AH0_S
レファレンスブック	reference|book	R_EH1_F_ER0_AH0_N_S|B_UH1_K
ランダムウォーク	random|walk	R_AE1_N_D_AH0_M|W_AO1_K
ソーシャルメディアハラスメント	social|media|harassment	S_OW1_SH_AH0_L|M_IY1_D_IY0_AH0|HH_ER0_AE1_S_M_AH0_N_T
オープンセール	open|sale	OW1_P_AH0_N|S_EY1_L
ストリーミング	streaming	S_T_R_IY1_M_IH0_NG
ルビ	ruby	R_UW1_B_IY0
フィードバック	feedback	F_IY1_D_B_AE2_K
ベローズ	bellows	B_EH1_L_OW0_Z
ゴールドラッシュ	gold|rush	G_OW1_L_D|R_AH1_SH
ドメインネーム	domain|name	D_OW0_M_EY1_N|N_EY1_M
オールターナティブスクール	alternative|school	AO0_L_T_ER1_N_AH0_T_IH0_V|S_K_UW1_L
リーフレット	leaflet	L_IY1_F_L_AH0_T
ヒーラー	healer	HH_IY1_L_ER0
シンダー	cinder	S_IH1_N_D_ER0
カバーバージョン	cover|version	K_AH1_V_ER0|V_ER1_ZH_AH0_N
カーボンヒーター	carbon|heater	K_AA1_R_B_AH0_N|HH_IY1_T_ER0
オープンワールド	open|world	OW1_P_AH0_N|W_ER1_L_D
ボー	bow	B_AW1
コールドバレエ	corps|de|ballet	K_AO1_R|D_IY1|B_AE0_L_EY1
コンバーター	converter	K_AH0_N_V_ER1_T_ER0
カラオケバー	karaoke|bar	K_EH2_R_IY0_OW1_K_IY0|B_AA1_R
ジェランド	gerund	JH_EH1_R_AH0_N_D
ニューフェイス	new|face	N_UW1|F_EY1_S
オールオーディナリーズ	all|ordinaries	AO1_L|AO1_R_D_AH0_N_EH2_R_IY0_Z
バージニティー	virginity	V_ER0_JH_IH1_N_IH0_T_IY0
ランクダウン	rank|down	R_AE1_NG_K|D_AW1_N
コモドール	commodore	K_AA1_M_AH0_D_AO2_R
スイム	swim	S_W_IH1_M
システムフォローアップ	system|follow-up	S_IH1_S_T_AH0_M|F_AA1_L_OW0_AH2_P
トリプルボギー	triple|bogey	T_R_IH1_P_AH0_L|B_OW1_G_IY0
アラビアコーヒー	arabia|coffee	AH0_R_EY1_B_IY0_AH0|K_AA1_F_IY0
ピンタ	pinta	P_IH1_N_T_AH0
ハイキューブ	high|cube	HH_AY1|K_Y_UW1_B
コリア	korea	K_AO2_R_IY1_AH0
グッドアフターヌーン	good|afternoon	G_UH1_D|AE2_F_T_ER0_N_UW1_N
アプライ	apply	AH0_P_L_AY1
イメージダウン	image|down	IH1_M_AH0_JH|D_AW1_N
ジャストクロック	just|clock	JH_AH1_S_T|K_L_AA1_K
スナップボタン	snap|button	S_N_AE1_P|B_AH1_T_AH0_N
フィクスト	fixed	F_IH1_K_S_T
ゲイリブ	gay|lib	G_EY1|L_IH1_B
ウォームギア	worm|gear	W_ER1_M|G_IH1_R
ホームレス	homeless	HH_OW1_M_L_AH0_S
ストリートビュー	street|view	S_T_R_IY1_T|V_Y_UW1
デジタルライセンス	digital|license	D_IH1_JH_AH0_T_AH0_L|L_AY1_S_AH0_N_S
トリビアル	trivial	T_R_IH1_V_IY0_AH0_L
メイス	mace	M_EY1_S
ピルグリムファーザーズ	pilgrim|fathers	P_IH1_L_G_R_AH0_M|F_AA1_DH_ER0_Z
カストル	castor	K_AE1_S_T_ER0
ニュースショー	news|show	N_UW1_Z|SH_OW1
ガンディー	gandhi	G_AA1_N_D_IY0
レフレクター	reflector	R_IH0_F_L_EH1_K_T_ER0
ウォータージェット	water|jet	W_AO1_T_ER0|JH_EH1_T
ジャイロホライズン	gyro|horizon	JH_AY1_R_OW2|HH_ER0_AY1_Z_AH0_N
テースト	taste	T_EY1_S_T
アナログデータ	analog|data	AE1_N_AH0_L_AO2_G|D_EY1_T_AH0
ポケットモデム	pocket|modem	P_AA1_K_AH0_T|M_OW1_D_AH0_M
ルーブゴールドバーグマシン	rube|goldberg|machine	R_UW1_B|G_OW1_L_D_B_ER0_G|M_AH0_SH_IY1_N
オートノミックコンピューティング	autonomic|computing	AO2_T_AH0_N_AA1_M_IH0_K|K_AH0_M_P_Y_UW1_T_IH0_NG
ネチケット	netiquette	N_EH1_T_AH0_K_AH2_T
ハチェット	hatchet	HH_AE1_CH_AH0_T
リバイズドエディション	revised|edition	R_IH0_V_AY1_Z_D|AH0_D_IH1_SH_AH0_N
ラショナル	rational	R_AE1_SH_AH0_N_AH0_L
ヴィネガー	vinegar	V_IH1_N_AH0_G_ER0
フードバンク	food|bank	F_UW1_D|B_AE1_NG_K
キーバッファ	key|buffer	K_IY1|B_AH1_F_ER0
ネグレクト	neglect	N_AH0_G_L_EH1_K_T
カイパーベルト	kuiper|belt	K_UW1_P_ER0|B_EH1_L_T
クォーテーション	quotation	K_W_OW0_T_EY1_SH_AH0_N
セロリシード	celery|seed	S_EH1_L_ER0_IY0|S_IY1_D
ラストオーダー	last|order	L_AE1_S_T|AO1_R_D_ER0
ヤングケアラー	young|carer	Y_AH1_NG|K_EH1_R_ER0
サントメ	sao|tome	S_AW1|T_OW1_M
ユーザフォーラム	user|forum	Y_UW1_Z_ER0|F_AO1_R_AH0_M
カラメルソース	caramel|sauce	K_EH1_R_AH0_M_AH0_L|S_AO1_S
スチームバス	steam|bath	S_T_IY1_M|B_AE1_TH
ファウンドリサービス	foundry|service	F_AW1_N_D_R_IY0|S_ER1_V_AH0_S
ダンピング	dumping	D_AH1_M_P_IH0_NG
スコープ	scope	S_K_OW1_P
ブルーマンデー	blue|monday	B_L_UW1|M_AH1_N_D_IY0
オンコジーン	oncogene	AA1_NG_K_OW0_JH_IY2_N
フルーツカクテル	fruits|cocktail	F_R_UW1_T_S|K_AA1_K_T_EY2_L
ビブス	bibs	B_IH1_B_Z
シーラスロジック	cirrus|logic	S_IH1_R_AH0_S|L_AA1_JH_IH0_K
ワインドアップ	windup	W_AY1_N_D_AH2_P
セラミック	ceramic	S_ER0_AE1_M_IH0_K
ドアチェック	door|check	D_AO1_R|CH_EH1_K
ゼネラルユニオン	general|union	JH_EH1_N_ER0_AH0_L|Y_UW1_N_Y_AH0_N
ハイリターン	high|return	HH_AY1|R_IH0_T_ER1_N
ラジオパーソナリティ	radio|personality	R_EY1_D_IY0_OW2|P_ER2_S_AH0_N_AE1_L_IH0_T_IY0
シュヴァリエ	chevalier	SH_EH2_V_AH0_L_IH1_R
ビジュアル	visual	V_IH1_ZH_AH0_W_AH0_L
ハンケチーフ	handkerchief	HH_AE1_NG_K_ER0_CH_IH0_F
ストックホルダー	stockholder	S_T_AA1_K_HH_OW2_L_D_ER0
テーマプロモーション	theme|promotion	TH_IY1_M|P_R_AH0_M_OW1_SH_AH0_N
ロックグラス	rock|glass	R_AA1_K|G_L_AE1_S
ロードコーン	road|cone	R_OW1_D|K_OW1_N
クエリチャネル	query|channel	K_W_IY1_R_IY0|CH_AE1_N_AH0_L
コールドスタート	cold|start	K_OW1_L_D|S_T_AA1_R_T
ハニー	honey	HH_AH1_N_IY0
エボラウイルス	ebola|virus	IY0_B_OW1_L_AH0|V_AY1_R_AH0_S
チェンバーオルガン	chamber|organ	CH_EY1_M_B_ER0|AO1_R_G_AH0_N
インドカレー	indo|curry	IH1_N_D_OW0|K_AH1_R_IY0
トラベルビューロー	travel|bureau	T_R_AE1_V_AH0_L|B_Y_UH1_R_OW0
ガンファイト	gunfight	G_AH1_N_F_AY2_T
バリエーションルート	variation|route	V_EH2_R_IY0_EY1_SH_AH0_N|R_UW1_T
テフロン	teflon	T_EH1_F_L_AH0_N
テレテキスト	teletext	T_EH1_L_AH0_T_EH1_K_S_T
ビッグデータ	big|data	B_IH1_G|D_EY1_T_AH0
バトンパス	baton|pass	B_AH0_T_AA1_N|P_AE1_S
フォロワー	follower	F_AA1_L_OW0_ER0
ミディアムレア	medium|rare	M_IY1_D_IY0_AH0_M|R_EH1_R
ライダースジャケット	rider's|jacket	R_AY1_D_ER0_Z|JH_AE1_K_AH0_T
アミン	amine	EY2_M_IY1_N
レガシデバイス	legacy|device	L_EH1_G_AH0_S_IY0|D_IH0_V_AY1_S
オーバーラップ	overlap	OW1_V_ER0_L_AE2_P
ソールミュージック	soul|music	S_OW1_L|M_Y_UW1_Z_IH0_K
スポーツマン	sportsman	S_P_AO1_R_T_S_M_AH0_N
グレイブ	grave	G_R_EY1_V
グローバルローミング	global|roaming	G_L_OW1_B_AH0_L|R_OW1_M_IH0_NG
クリスタル	crystal	K_R_IH1_S_T_AH0_L
エラーログ	error|log	EH1_R_ER0|L_AO1_G
ガッチャ	gotcha	G_AA1_CH_AH0
フリース	fleece	F_L_IY1_S
ラパロスコピー	laparoscopy	L_AE2_P_ER0_AA1_S_K_AH0_P_IY0
エディティング	editing	EH1_D_AH0_T_IH0_NG
コンピュテーション	computation	K_AA2_M_P_Y_AH0_T_EY1_SH_AH0_N
メソッド	method	M_EH1_TH_AH0_D
エラー	error	EH1_R_ER0
トップコンディション	top|condition	T_AA1_P|K_AH0_N_D_IH1_SH_AH0_N
コンファレンス	conference	K_AA1_N_F_ER0_AH0_N_S
マリア	maria	M_ER0_IY1_AH0
サイコセラピスト	psychotherapist	S_AY2_K_AH0_TH_EH1_R_AH0_P_IH0_S_T
テレビジョンアニメーション	television|animation	T_EH1_L_AH0_V_IH2_ZH_AH0_N|AE2_N_AH0_M_EY1_SH_AH0_N
アデノウイルス	adenovirus	AH0_D_EH1_N_AH0_V_AY2_R_AH0_S
アイランドキッチン	island|kitchen	AY1_L_AH0_N_D|K_IH1_CH_AH0_N
クリッピング	clipping	K_L_IH1_P_IH0_NG
アビタシオン	habitation	HH_AE2_B_AH0_T_EY1_SH_AH0_N
アメンド	amend	AH0_M_EH1_N_D
エンジニアリングプラスチック	engineering|plastics	EH1_N_JH_AH0_N_IH1_R_IH0_NG|P_L_AE1_S_T_IH0_K_S
ハイオクタン	high|octane	HH_AY1|AA1_K_T_EY0_N
レシピサイト	recipe|site	R_EH1_S_AH0_P_IY0|S_AY1_T
ゲムズボック	gemsbok	G_EH1_M_Z_B_AA0_K
パトロールライト	patrol|light	P_AH0_T_R_OW1_L|L_AY1_T
カーボランダム	carborundum	K_AA2_R_B_ER0_AH1_N_D_AH0_M
ウェブトラフィック	web|traffic	W_EH1_B|T_R_AE1_F_IH0_K
チェックメート	checkmate	CH_EH1_K_M_EY2_T
ムッソリーニ	mussolini	M_UW2_S_OW0_L_IY1_N_IY0
カウボーイブーツ	cowboy|boots	K_AW1_B_OY2|B_UW1_T_S
スクエアポジション	square|position	S_K_W_EH1_R|P_AH0_Z_IH1_SH_AH0_N
アブソーバー	absorber	AH0_B_Z_AO1_R_B_ER0
プラクティス	practice	P_R_AE1_K_T_IH0_S
ステイト	state	S_T_EY1_T
ガントレット	gauntlet	G_AO1_N_T_L_AH0_T
ハッピーエンド	happy|end	HH_AE1_P_IY0|EH1_N_D
アウアズ	ours	AW1_ER0_Z
アロマオイル	aroma|oil	ER0_OW1_M_AH0|OY1_L
ビジネスリーダーシップ	business|leadership	B_IH1_Z_N_AH0_S|L_IY1_D_ER0_SH_IH2_P
タイムオーバー	time|over	T_AY1_M|OW1_V_ER0
ブレンド	blend	B_L_EH1_N_D
シルクロード	silk|road	S_IH1_L_K|R_OW1_D
トポグラフィー	topography	T_AH0_P_AA1_G_R_AH0_F_IY0
トランジェント	transient	T_R_AE1_N_ZH_AH0_N_T
ナタールサージャント	natal|sergeant	N_EY1_T_AH0_L|S_AA1_R_JH_AH0_N_T
ワインカラー	wine|color	W_AY1_N|K_AH1_L_ER0
アニメーション	animation	AE2_N_AH0_M_EY1_SH_AH0_N
ギャスケット	gasket	G_AE1_S_K_AH0_T
マシンライク	machine|like	M_AH0_SH_IY1_N|L_AY1_K
バイバイ	bye|bye	B_AY1|B_AY1
ワンマンバス	one-man|bus	W_AH2_M_AE1_N|B_AH1_S
スターキング	star|king	S_T_AA1_R|K_IH1_NG
アクティング	acting	AE1_K_T_IH0_NG
ビデオレコーダー	video|recorder	V_IH1_D_IY0_OW0|R_IH0_K_AO1_R_D_ER0
ルームチャージ	room|charge	R_UW1_M|CH_AA1_R_JH
ミゼットハウス	midget|house	M_IH1_JH_AH0_T|HH_AW1_S
ネゴシエーション	negotiation	N_IH0_G_OW2_SH_IY0_EY1_SH_AH0_N
サイケデリック	psychedelic	S_AY2_K_AH0_D_EH1_L_IH0_K
ピラニア	piranha	P_IH0_R_AE1_N_HH_AH0
カルガリー	calgary	K_AE1_L_G_ER0_IY0
イースタン	eastern	IY1_S_T_ER0_N
パラシュート	parachute	P_EH1_R_AH0_SH_UW2_T
ベンチャーキャピタル	venture|capital	V_EH1_N_CH_ER0|K_AE1_P_IH0_T_AH0_L
オールインワン	all|in|one	AO1_L|IH0_N|W_AH1_N
ラップ	rap	R_AE1_P
サイレンサ	silencer	S_AY1_L_AH0_N_S_ER2
エコノミック	economic	EH2_K_AH0_N_AA1_M_IH0_K
ダルゲーム	dull|game	D_AH1_L|G_EY1_M
エージシューター	age|shooter	EY1_JH|SH_UW1_T_ER0
グリーンハウス	greenhouse	G_R_IY1_N_HH_AW2_S
サルファ	sulfur	S_AH1_L_F_ER0
レフレックス	reflex	R_IY1_F_L_EH0_K_S
オーディーン	odin	OW1_D_AH0_N
イノセント	innocent	IH1_N_AH0_S_AH0_N_T
ナルシスト	narcissist	N_AA1_R_S_IH0_S_IH0_S_T
セルラーフロア	cellular|floor	S_EH1_L_Y_AH0_L_ER0|F_L_AO1_R
ゴッド	god	G_AA1_D
ドキュメンテーション	documentation	D_AA2_K_Y_UW0_M_EH0_N_T_EY1_SH_AH0_N
トピ	topi	T_OW1_P_IH0
ハンバーガー	hamburger	HH_AE1_M_B_ER0_G_ER0
バニティーバッグ	vanity|bag	V_AE1_N_AH0_T_IY0|B_AE1_G
パッショネート	passionate	P_AE1_SH_AH0_N_AH0_T
ギターソロ	guitar|solo	G_IH0_T_AA1_R|S_OW1_L_OW2
ヴィオラダモーレ	viola|d'amore	V_AY0_OW1_L_AH0|D_AE2_M_AO1_R_EY2
ビットフィールド	bit|field	B_IH1_T|F_IY1_L_D
カラーディスプレー	color|display	K_AH1_L_ER0|D_IH0_S_P_L_EY1
ファイバーボード	fiberboard	F_AY1_B_ER0_B_AO2_R_D
ボトラー	bottler	B_AA1_T_L_ER0
コンパチビリティー	compatibility	K_AH0_M_P_AE2_T_AH0_B_IH1_L_AH0_T_IY2
リビングセット	living|set	L_IH1_V_IH0_NG|S_EH1_T
メジャートーナメント	major|tournament	M_EY1_JH_ER0|T_UH1_R_N_AH0_M_AH0_N_T
バックバンド	back|band	B_AE1_K|B_AE1_N_D
オブリーク	oblique|line	AH0_B_L_IY1_K|L_AY1_N
レーベル	label	L_EY1_B_AH0_L
フォグランプ	fog|lamp	F_AA1_G|L_AE1_M_P
ブラックタイ	black|tie	B_L_AE1_K|T_AY1
