フェミニニティ	femininity	F_EH2_M_AH0_N_IH1_N_AH0_T_IY0
ファラーフェル	falafel	F_AH0_L_AA1_F_AH0_L
コンクラーヴェ	conclave	K_AA1_N_K_L_EY2_V
パッサージュ	passage	P_AE1_S_AH0_JH
パッサージ	passage	P_AE1_S_AH0_JH
デメテル	demeter	D_IH0_M_IY1_T_ER0
ブランデ	brandy	B_R_AE1_N_D_IY0
ブランディー	brandy	B_R_AE1_N_D_IY0
ブランデー	brandy	B_R_AE1_N_D_IY0
リマインダ	reminder	R_IY0_M_AY1_N_D_ER0
エンカウント	encounter	IH0_N_K_AW1_N_T_ER0
ガタ	gutter	G_AH1_T_ER0
ディケイ	decay	D_IH0_K_EY1
ウインナソーセージ	vienna|sausage	V_IY0_EH1_N_AH0|S_AO1_S_AH0_JH
ウインナーソーセージ	vienna|sausage	V_IY0_EH1_N_AH0|S_AO1_S_AH0_JH
ウィンナーソーセージ	vienna|sausage	V_IY0_EH1_N_AH0|S_AO1_S_AH0_JH
ディベロッパー	developer	D_IH0_V_EH1_L_AH0_P_ER0
デベロッパ	developer	D_IH0_V_EH1_L_AH0_P_ER0
ミセズ	mrs	M_IH1_S_IH0_Z
ワウフラッター	wow|flutter	W_AW1|F_L_AH1_T_ER0
トレーニングウエア	training|wear	T_R_EY1_N_IH0_NG|W_EH1_R
ピアトゥーピア	peer-to-peer	P_IH2_R_T_OW0_P_IH1_R
スノッブ	snob	S_N_AA1_B
プリティー	pretty	P_R_IH1_T_IY0
コメディー	comedy	K_AA1_M_AH0_D_IY0
メサイア	messiah	M_AH0_S_AY1_AH0
メシヤ	messiah	M_AH0_S_AY1_AH0
グロサリー	grocery	G_R_OW1_S_ER0_IY0
ステンドグラス	stained|glass	S_T_EY1_N_D|G_L_AE1_S
フリーダイアル	free|dial	F_R_IY1|D_AY1_AH0_L
テンダーロイン	tenderloin	T_EH1_N_D_ER0_L_OY2_N
ディーテイル	detail	D_IH0_T_EY1_L
デテール	detail	D_IH0_T_EY1_L
ディテール	detail	D_IH0_T_EY1_L
チアーリーダー	cheerleader	CH_IH1_R_L_IY2_D_ER0
エーテル	ether	IY1_TH_ER0
タナトロジー	thanatology	TH_AE0_N_AH0_T_AO1_L_AH0_JH_IY0
ブランマンジェ	blancmange	B_L_AH0_M_AA1_N_JH
キャラクタコード	character|code	K_EH1_R_IH0_K_T_ER0|K_OW1_D
キッシュ	quiche	K_IY1_SH
オールマイティ	almighty	AO0_L_M_AY1_T_IY0
フィナンシェ	financier	F_IH2_N_AH0_N_S_IY1_R
ショルダーホン	shoulder|phone	SH_OW1_L_D_ER0|F_OW1_N
リリーフ	relief	R_IH0_L_IY1_F
オースティン	austin	AO1_S_T_AH0_N
ラインプリンタ	line|printer	L_AY1_N|P_R_IH1_N_T_ER0
オーボー	oboe	OW1_B_OW0
アウェイト	await	AH0_W_EY1_T
プラスタ	plaster	P_L_AE1_S_T_ER0
ロックステディー	rock|steady	R_AA1_K|S_T_EH1_D_IY0
グルービー	groovy	G_R_UW1_V_IY0
アワー	hour	AW1_ER0
リタイア	retire	R_IY0_T_AY1_ER0
アルコール	alcohol	AE1_L_K_AH0_HH_AA2_L
ヒストリ	history	HH_IH1_S_T_ER0_IY0
ブレークスルー	breakthrough	B_R_EY1_K_TH_R_UW2
ナルシシスム	narcissism	N_AA1_R_S_IH0_S_IH2_Z_AH0_M
ナルシズム	narcissism	N_AA1_R_S_IH0_S_IH2_Z_AH0_M
ナルチシズム	narcissism	N_AA1_R_S_IH0_S_IH2_Z_AH0_M
ヴァイブ	vibe	V_AY1_B
モウメンタム	momentum	M_OW0_M_EH1_N_T_AH0_M
モメンタム	momentum	M_OW0_M_EH1_N_T_AH0_M
ワンアウト	one|out	W_AH1_N|AW1_T
タイポグラフィ	typography	T_AH0_P_AA1_G_R_AH0_F_IY0
ランウェイショー	runway|show	R_AH1_N_W_EY2|SH_OW1
チュウインガム	chewing|gum	CH_UW1_IH0_NG|G_AH1_M
アウトラインプロセッサ	outline|processor	AW1_T_L_AY2_N|P_R_AA1_S_EH2_S_ER0
ライセンサ	licenser	L_AY1_S_AH0_N_S_ER0
ダンパ	damper	D_AE1_M_P_ER0
ブロコリ	broccoli	B_R_AA1_K_AH0_L_IY0
ブロッコリー	broccoli	B_R_AA1_K_AH0_L_IY0
アウトゥサイド	outside	AW1_T_S_AY1_D
イニシエーター	initiator	IH2_N_IH0_SH_IY1_EY0_T_ER0
ヨークシャープディング	yorkshire|pudding	Y_AO1_R_K_SH_ER0|P_UH1_D_IH0_NG
アバカス	abacus	AE1_B_AH0_K_AH0_S
プライバシー	privacy	P_R_AY1_V_AH0_S_IY0
プライバシイ	privacy	P_R_AY1_V_AH0_S_IY0
プライバシ	privacy	P_R_AY1_V_AH0_S_IY0
アレイ	array	ER0_EY1
ラウター	router	R_UW1_T_ER0
ルータ	router	R_UW1_T_ER0
ブラウス	blouse	B_L_AW1_S
ノーマリゼーション	normalization	N_AO2_R_M_AH0_L_IH0_Z_EY1_SH_AH0_N
ケイジャン	cajun	K_EY1_JH_AH0_N
スタチック	static	S_T_AE1_T_IH0_K
マタニティマーク	maternity|mark	M_AH0_T_ER1_N_IH0_T_IY0|M_AA1_R_K
グレード	grade	G_R_EY1_D
コロラトゥーラ	coloratura	K_AH0_L_ER0_AH0_T_UH1_R_AH0
コロラチューラ	coloratura	K_AH0_L_ER0_AH0_T_UH1_R_AH0
モビル	mobile	M_OW1_B_AH0_L
モバイル	mobile	M_OW1_B_AH0_L
モービル	mobile	M_OW1_B_AH0_L
レスラ	wrestler	R_EH1_S_AH0_L_ER0
ウエルカムボード	welcome|board	W_EH1_L_K_AH0_M|B_AO1_R_D
ウィンジー	wing	W_IH1_NG
ウイング	wing	W_IH1_NG
デジュレスタンダード	de|jure|standard	D_IY1|JH_UH1_R|S_T_AE1_N_D_ER0_D
デジューレスタンダード	de|jure|standard	D_IY1|JH_UH1_R|S_T_AE1_N_D_ER0_D
デジュリスタンダード	de|jure|standard	D_IY1|JH_UH1_R|S_T_AE1_N_D_ER0_D
ウィッシュ	wish	W_IH1_SH
ラスタ	roster	R_AA1_S_T_ER0
ラスター	roster	R_AA1_S_T_ER0
チックタック	tick|tock	T_IH1_K|T_AA1_K
アベイラビリティ	availability	AH0_V_EY2_L_AH0_B_IH1_L_AH0_T_IY0
ロット	lot	L_AA1_T
ロト	lot	L_AA1_T
セパレート	separate	S_EH1_P_ER0_EY2_T
ウエルメードー	well|made	W_EH1_L|M_EY2_D
イマージュ	image	IH1_M_AH0_JH
インベントリー	inventory	IH2_N_V_AH0_N_T_AO1_R_IY0
ロトンダ	rotunda	R_OW0_T_AH1_N_D_AH0
ロウタンダ	rotunda	R_OW0_T_AH1_N_D_AH0
ロタンダ	rotunda	R_OW0_T_AH1_N_D_AH0
ヴォーカリスト	vocalist	V_OW1_K_AH0_L_IH0_S_T
メドゥサ	medusa	M_AH0_D_UW1_S_AH0
メデゥーサ	medusa	M_AH0_D_UW1_S_AH0
メドゥーサ	medusa	M_AH0_D_UW1_S_AH0
メデゥサ	medusa	M_AH0_D_UW1_S_AH0
クレオール	creole	K_R_IY1_OW0_L
ウィントフック	windhoek	W_IH1_N_D_HH_OW2_K
バジル	basil	B_AE1_Z_AH0_L
ハイパーリンク	hyperlink	HH_AY1_P_ER0_L_IH0_NG_K
エンドーサー	endorser	IH0_N_D_AO1_R_S_ER0
マッツォ	matzoh	M_AE1_T_S_AH0
デジタルデータ	digital|data	D_IH1_JH_AH0_T_AH0_L|D_EY1_T_AH0
ジャマー	jammer	JH_AE1_M_ER0
カントゥア	contour	K_AA1_N_T_UH2_R
コントゥア	contour	K_AA1_N_T_UH2_R
コントゥアー	contour	K_AA1_N_T_UH2_R
コンター	contour	K_AA1_N_T_UH2_R
メガホン	megaphone	M_EH1_G_AH0_F_OW2_N
ブルワリー	brewery	B_R_UW1_ER0_IY0
カプセルトイ	capsule|toy	K_AE1_P_S_AH0_L|T_OY1
レームダック	lame|duck	L_EY1_M|D_AH1_K
ハーモニウム	harmonium	HH_AA0_R_M_OW1_N_IY0_AH0_M
ベロシティ	velocity	V_AH0_L_AA1_S_AH0_T_IY0
ベロシティー	velocity	V_AH0_L_AA1_S_AH0_T_IY0
ショベル	shovel	SH_AH1_V_AH0_L
サワークラウト	sauerkraut	S_AW1_ER0_K_R_AW2_T
ザウアクラウト	sauerkraut	S_AW1_ER0_K_R_AW2_T
ザウアークラウト	sauerkraut	S_AW1_ER0_K_R_AW2_T
ザワークラフト	sauerkraut	S_AW1_ER0_K_R_AW2_T
ゲートウェードラッグ	gateway|drug	G_EY1_T_W_EY2|D_R_AH1_G
オールオアナッシング	all|or|nothing	AO1_L|AO1_R|N_AH1_TH_IH0_NG
ラゲッジ	luggage	L_AH1_G_AH0_JH
ラゲージ	luggage	L_AH1_G_AH0_JH
オーバーレイ	overlay	OW1_V_ER0_L_EY2
オーバレイ	overlay	OW1_V_ER0_L_EY2
セーフティボックス	safety|box	S_EY1_F_T_IY0|B_AA1_K_S
セイフティボックス	safety|box	S_EY1_F_T_IY0|B_AA1_K_S
セカンダリ	secondary	S_EH1_K_AH0_N_D_EH2_R_IY0
セカンダリー	secondary	S_EH1_K_AH0_N_D_EH2_R_IY0
ノクトビジョン	noctovision	N_AA1_K_T_AH0_V_IH2_ZH_AH0_N
プレジャ	pleasure	P_L_EH1_ZH_ER0
バドミントン	badminton	B_AE1_D_M_IH2_N_T_AH0_N
ハーフウェー	halfway	HH_AE1_F_W_EY1
ハーフウエー	halfway	HH_AE1_F_W_EY1
ハーフウエイ	halfway	HH_AE1_F_W_EY1
インヴェンション	invention	IH2_N_V_EH1_N_SH_AH0_N
プライベートエクイティ	private|equity	P_R_AY1_V_AH0_T|EH1_K_W_AH0_T_IY0
クロムイエロー	chrome|yellow	K_R_OW1_M|Y_EH1_L_OW0
ラジカリズム	radicalism	R_AE1_D_IH0_K_AH0_L_IH2_Z_AH0_M
リバイバル	revival	R_IH0_V_AY1_V_AH0_L
ユーティリティプログラム	utility|program	Y_UW0_T_IH1_L_AH0_T_IY0|P_R_OW1_G_R_AE2_M
シリアルインターフェース	serial|interface	S_IH1_R_IY2_AH0_L|IH1_N_T_ER0_F_EY2_S
シリアルインタフェース	serial|interface	S_IH1_R_IY2_AH0_L|IH1_N_T_ER0_F_EY2_S
ギャングエージ	gang|age	G_AE1_NG|EY1_JH
コンビネーション	combination	K_AA2_M_B_AH0_N_EY1_SH_AH0_N
エロティックゲーム	erotic|game	IH0_R_AA1_T_IH0_K|G_EY1_M
グラフィカルユーザインタフェース	graphical|user|interface	G_R_AE1_F_IH0_K_AH0_L|Y_UW1_Z_ER0|IH1_N_T_ER0_F_EY2_S
グラフィカルユーザーインターフェース	graphical|user|interface	G_R_AE1_F_IH0_K_AH0_L|Y_UW1_Z_ER0|IH1_N_T_ER0_F_EY2_S
カルトン	carton	K_AA1_R_T_AH0_N
サポータ	supporter	S_AH0_P_AO1_R_T_ER0
チリコンカン	chili|con|carne	CH_IH1_L_IY0|K_AA1_N|K_AA1_R_N
チリコンカーン	chili|con|carne	CH_IH1_L_IY0|K_AA1_N|K_AA1_R_N
チリコンカルネ	chili|con|carne	CH_IH1_L_IY0|K_AA1_N|K_AA1_R_N
ファーニチャー	furniture	F_ER1_N_IH0_CH_ER0
ファニチャ	furniture	F_ER1_N_IH0_CH_ER0
ファニチュア	furniture	F_ER1_N_IH0_CH_ER0
クレーム	claim	K_L_EY1_M
エキジビションゲーム	exhibition|game	EH2_K_S_AH0_B_IH1_SH_AH0_N|G_EY1_M
メーンイベント	main|event	M_EY1_N|IH0_V_EH1_N_T
メインイベント	main|event	M_EY1_N|IH0_V_EH1_N_T
メインエベント	main|event	M_EY1_N|IH0_V_EH1_N_T
ファンキ	funky	F_AH1_NG_K_IY0
カフェラテ	cafe|latte	K_AH0_F_EY1|L_AA1_T_EY2
ショッピング	shopping	SH_AA1_P_IH0_NG
ラリアット	lariat	L_EH1_R_IY0_AH0_T
ムーサ	muse	M_Y_UW1_Z
アントルプルヌール	entrepreneur	AA2_N_T_R_AH0_P_R_AH0_N_ER1
スロベニア	slovenia	S_L_OW2_V_IY1_N_IY0_AH0
スコッター	squatter	S_K_W_AA1_T_ER0
グレートデーン	great|dane	G_R_EY1_T|D_EY1_N
アテネ	athens	AE1_TH_AH0_N_Z
ビバレッジ	beverage	B_EH1_V_ER0_IH0_JH
ベバリッジ	beverage	B_EH1_V_ER0_IH0_JH
ビバリッジ	beverage	B_EH1_V_ER0_IH0_JH
アーチェリー	archery	AA1_R_CH_ER0_IY0
マヌカン	mannequin	M_AE1_N_AH0_K_IH0_N
レピュテイション	reputation	R_EH2_P_Y_AH0_T_EY1_SH_AH0_N
トートバッグ	tote|bag	T_OW1_T|B_AE1_G
アクタ	actor	AE1_K_T_ER0
カーディガン	cardigan	K_AA1_R_D_IH0_G_AH0_N
ウマーン	oman	OW0_M_AA1_N
ポブラノ	poblano	P_OW0_B_L_AA1_N_OW0
シュアー	sure	SH_UH1_R
ドエリング	dwelling	D_W_EH1_L_IH0_NG
チェッカー	checker	CH_EH1_K_ER0
ローティー	roti	R_OW1_T_IY0
ウイット	wit	W_IH1_T
タンクローリ	tank|lorry	T_AE1_NG_K|L_AO1_R_IY0
サービスステイション	service|station	S_ER1_V_AH0_S|S_T_EY1_SH_AH0_N
オブリゲイション	obligation	AA2_B_L_AH0_G_EY1_SH_AH0_N
レーディース	ladies'	L_EY1_D_IY2_Z
レディズ	ladies'	L_EY1_D_IY2_Z
レディース	ladies'	L_EY1_D_IY2_Z
レディーズ	ladies'	L_EY1_D_IY2_Z
レディス	ladies'	L_EY1_D_IY2_Z
ヴェテラン	veteran	V_EH1_T_ER0_AH0_N
ベテラン	veteran	V_EH1_T_ER0_AH0_N
スーパーユーザー	super|user	S_UW1_P_ER0|Y_UW1_Z_ER0
アールブリュット	art|brut	AA1_R_T|B_R_UW1_T
タグ	tag	T_AE1_G
アイスキャンディ	ice|candy	AY1_S|K_AE1_N_D_IY1
アイスキャンデー	ice|candy	AY1_S|K_AE1_N_D_IY0
ヒズボッラー	hizbollah	HH_IH0_Z_B_OW1_L_AH0
ビスムス	bismuth	B_IH1_Z_M_AH0_TH
デカフェ	decaf	D_IY1_K_AE0_F
ディカフ	decaf	D_IY1_K_AE0_F
ディカフェ	decaf	D_IY1_K_AE0_F
バックウオーター	backwater	B_AE1_K_W_AO2_T_ER0
ステディー	steady	S_T_EH1_D_IY0
ワルシャワ	warsaw	W_AO1_R_S_AO2
パウチ	porch	P_AO1_R_CH
パーツ	part	P_AA1_R_T
テレビジョン	television	T_EH1_L_AH0_V_IH2_ZH_AH0_N
ウエートベルト	weight|belt	W_EY1_T|B_EH1_L_T
ウェートベルト	weight|belt	W_EY1_T|B_EH1_L_T
ウエイトベルト	weight|belt	W_EY1_T|B_EH1_L_T
ラサニヤ	lasagna	L_AA0_S_AA1_N_Y_AH0
ラザーニェ	lasagna	L_AA0_S_AA1_N_Y_AH0
ラザニエ	lasagna	L_AA0_S_AA1_N_Y_AH0
ラザーニャ	lasagna	L_AA0_S_AA1_N_Y_AH0
フラットベットスキャナ	flatbed|scanner	F_L_AE1_T_B_EH2_D|S_K_AE1_N_ER0
エクスプローラー	explorer	IH0_K_S_P_L_AO1_R_ER0
アンパイア	umpire	AH1_M_P_AY2_ER0
ゲレイン	grain	G_R_EY1_N
グレーン	grain	G_R_EY1_N
グレイン	grain	G_R_EY1_N
スルタン	sultan	S_AH1_L_T_AH0_N
グラフィックボード	graphic|board	G_R_AE1_F_IH0_K|B_AO1_R_D
サプライチェーンマネージメント	supply|chain|management	S_AH0_P_L_AY1|CH_EY1_N|M_AE1_N_AH0_JH_M_AH0_N_T
アドバンス	advance	AH0_D_V_AE1_N_S
ウエイティングルーム	waiting|room	W_EY1_T_IH0_NG|R_UW1_M
ウェーティングルーム	waiting|room	W_EY1_T_IH0_NG|R_UW1_M
ウェイティングルーム	waiting|room	W_EY1_T_IH0_NG|R_UW1_M
ソディウム	sodium	S_OW1_D_IY0_AH0_M
マイロ	milo	M_AY1_L_OW0
ハンググライダー	hang|glider	HH_AE1_NG|G_L_AY1_D_ER0
インボイス	invoice	IH1_N_V_OY0_S
ニュービジネス	new|business	N_UW1|B_IH1_Z_N_AH0_S
マグネティック	magnetic	M_AE0_G_N_EH1_T_IH0_K
セルティック	celtic	S_EH1_L_T_IH0_K
ジェリー	jelly	JH_EH1_L_IY0
ゼリー	jelly	JH_EH1_L_IY0
プランタン	printemps	P_R_IH1_N_T_EH0_M_P_S
プリミティブ	primitive	P_R_IH1_M_AH0_T_IH0_V
プリミチブ	primitive	P_R_IH1_M_AH0_T_IH0_V
コンピュータソフトウェア	computer|software	K_AH0_M_P_Y_UW1_T_ER0|S_AO1_F_T_W_EH2_R
マフィン	muffin	M_AH1_F_AH0_N
ケアマネジャー	care|manager	K_EH1_R|M_AE1_N_AH0_JH_ER0
コンプレッサー	compressor	K_AH0_M_P_R_EH1_S_ER0
ピーナツオイル	peanut|oil	P_IY1_N_AH0_T|OY1_L
サンドウェッジ	sand|wedge	S_AE1_N_D|W_EH1_JH
ナイーブ	naive	N_AY2_IY1_V
シミュレーター	simulator	S_IH1_M_Y_AH0_L_EY2_T_ER0
コサージュ	corsage	K_AO0_R_S_AA1_ZH
コーサージ	corsage	K_AO0_R_S_AA1_ZH
コーサージュ	corsage	K_AO0_R_S_AA1_ZH
コサージ	corsage	K_AO0_R_S_AA1_ZH
ピクチャーインピクチャー	picture|in|picture	P_IH1_K_CH_ER0|IH0_N|P_IH1_K_CH_ER0
ワンマンショウ	one-man|show	W_AH2_M_AE1_N|SH_OW1
ノスタルジア	nostalgia	N_AO0_S_T_AE1_L_JH_AH0
ジェイダイト	jadeite	JH_EY1_D_AY2_T
キセノン	xenon	Z_IY1_N_AA0_N
フリッカー	flicker	F_L_IH1_K_ER0
オーバードーズ	overdose	OW1_V_ER0_D_OW2_S
モビリティー	mobility	M_OW0_B_IH1_L_AH0_T_IY0
バーガンディー	burgundy	B_ER1_G_AH0_N_D_IY0
ゴーファー	gopher	G_OW1_F_ER0
トリガー	trigger	T_R_IH1_G_ER0
ブレイクダウン	breakdown	B_R_EY1_K_D_AW2_N
アチーヴ	achieve	AH0_CH_IY1_V
サージェント	sergeant	S_AA1_R_JH_AH0_N_T
ローファーズ	loafers	L_OW1_F_ER0_Z
ローファー	loafers	L_OW1_F_ER0_Z
マスタング	mustang	M_AH1_S_T_AE2_NG
インパクトプリンタ	impact|printer	IH2_M_P_AE1_K_T|P_R_IH1_N_T_ER0
タイプライター	typewriter	T_AY1_P_R_AY2_T_ER0
コアコンピタンス	core|competence	K_AO1_R|K_AA1_M_P_AH0_T_IH0_N_S
インタレース	interlace	IH2_N_T_ER0_L_EY1_S
スウィートハート	sweetheart	S_W_IY1_T_HH_AA2_R_T
アーゴン	argon	AA1_R_G_AA2_N
ティーチャー	teacher	T_IY1_CH_ER0
インディアン	indian	IH1_N_D_IY0_AH0_N
ウイークエンド	weekend	W_IY1_K_EH2_N_D
オーソライゼーション	authorization	AO2_TH_ER0_AH0_Z_EY1_SH_AH0_N
キャッシュメモリー	cache|memory	K_AE1_SH|M_EH1_M_ER0_IY0
ゼネラリスト	generalist	JH_EH1_N_ER0_AH0_L_IH0_S_T
ローンドゥリー	laundry	L_AO1_N_D_R_IY0
デンバー	denver	D_EH1_N_V_ER0
インナーシティー	inner|city	IH1_N_ER0|S_IH1_T_IY0
フェール	fail	F_EY1_L
アボカド	avocado	AE2_V_AH0_K_AA1_D_OW0
マウスポインター	mouse|pointer	M_AW1_S|P_OY1_N_T_ER0
デーホーム	day|home	D_EY1|HH_OW1_M
ゼネラルコントラクタ	general|contractor	JH_EH1_N_ER0_AH0_L|K_AA1_N_T_R_AE2_K_T_ER0
リリース	release	R_IY0_L_IY1_S
ネイビールック	navy|look	N_EY1_V_IY0|L_UH1_K
インターネット	internet	IH1_N_T_ER0_N_EH2_T
サーフェス	surface	S_ER1_F_AH0_S
サーフィス	surface	S_ER1_F_AH0_S
ドーターカード	daughter|card	D_AO1_T_ER0|K_AA1_R_D
コンチェルト	concerto	K_AH0_N_CH_EH1_R_T_OW0
ベニア	veneer	V_AH0_N_IH1_R
バイヤステープ	bias|tape	B_AY1_AH0_S|T_EY1_P
リミティッド	limited	L_IH1_M_AH0_T_AH0_D
スパゲッティボロネーゼ	spaghetti|bolognese	S_P_AH0_G_EH1_T_IY0|B_OW0_L_OW0_NG_EH1_Z_IY0
スパゲティーボロネーゼ	spaghetti|bolognese	S_P_AH0_G_EH1_T_IY0|B_OW0_L_OW0_NG_EH1_Z_IY0
スパゲッティーボロネーゼ	spaghetti|bolognese	S_P_AH0_G_EH1_T_IY0|B_OW0_L_OW0_NG_EH1_Z_IY0
サラマンダー	salamander	S_AE2_L_AH0_M_AE1_N_D_ER0
サラマンドラ	salamander	S_AE2_L_AH0_M_AE1_N_D_ER0
カスク	cask	K_AE1_S_K
ルピナス	lupine	L_UW1_P_AY2_N
ボディアーマー	body|armor	B_AA1_D_IY0|AA1_R_M_ER0
ボディーアーマー	body|armor	B_AA1_D_IY0|AA1_R_M_ER0
ダンディライオン	dandelion	D_AE1_N_D_AH0_L_AY2_AH0_N
モルフィン	morphine	M_AO1_R_F_IY0_N
セパレーター	separator	S_EH1_P_AH0_R_EY2_T_ER0
クエスチョンマーク	question|mark	K_W_EH1_S_CH_AH0_N|M_AA1_R_K
クエッションマーク	question|mark	K_W_EH1_S_CH_AH0_N|M_AA1_R_K
バッフェイ	buffet	B_AH1_F_AH0_T
ビュッフェ	buffet	B_AH1_F_AH0_T
バフェ	buffet	B_AH1_F_AH0_T
バフェイ	buffet	B_AH1_F_AH0_T
シア	shea	SH_EY1
ベビーチェアー	baby|chair	B_EY1_B_IY0|CH_EH1_R
モジュラージャック	modular|jack	M_AO1_JH_AH0_L_ER0|JH_AE1_K
ショップインショップ	shop|in|shop	SH_AA1_P|IH0_N|SH_AA1_P
モルジブ	maldives	M_AO1_L_D_AY2_V_Z
マルディブ	maldives	M_AO1_L_D_AY2_V_Z
ベーパーロック	vapor|lock	V_EY1_P_ER0|L_AA1_K
ベーパロック	vapor|lock	V_EY1_P_ER0|L_AA1_K
ラム	rump	R_AH1_M_P
サステーナブル	sustainable	S_AH0_S_T_EY1_N_AH0_B_AH0_L
サステナブル	sustainable	S_AH0_S_T_EY1_N_AH0_B_AH0_L
サステイナブル	sustainable	S_AH0_S_T_EY1_N_AH0_B_AH0_L
トラック	truck	T_R_AH1_K
エアコン	air|con	EH1_R|K_AA1_N
ハイチェア	high|chair	HH_AY1|CH_EH1_R
エステティック	aesthetic	EH0_S_TH_EH1_T_IH0_K
エステティク	aesthetic	EH0_S_TH_EH1_T_IH0_K
ミンスパイ	mince|pie	M_IH1_N_S|P_AY1
フロリスト	florist	F_L_AA1_R_IH0_S_T
グッドモーニング	good|morning	G_UH1_D|M_AO1_R_N_IH0_NG
グッドモーニン	good|morning	G_UH1_D|M_AO1_R_N_IH0_NG
グッモーニン	good|morning	G_UH1_D|M_AO1_R_N_IH0_NG
キュビット	cubit	K_Y_UW1_B_IH0_T
キュビト	cubit	K_Y_UW1_B_IH0_T
コンピューター	computer	K_AH0_M_P_Y_UW1_T_ER0
ヴァレンタインデー	valentine|day	V_AE1_L_AH0_N_T_AY2_N|D_EY1
ホエイ	whey	W_EY1
タンタルム	tantalum	T_AE1_N_T_AH0_L_AH0_M
ギヨー	guyot	G_AY1_AH0_T
リスポンス	response	R_IH0_S_P_AA1_N_S
コミュニケーション	communication	K_AH0_M_Y_UW2_N_AH0_K_EY1_SH_AH0_N
コミュニケイション	communication	K_AH0_M_Y_UW2_N_AH0_K_EY1_SH_AH0_N
コミニュケーション	communication	K_AH0_M_Y_UW2_N_AH0_K_EY1_SH_AH0_N
メモリカード	memory|card	M_EH1_M_ER0_IY0|K_AA1_R_D
クリスタルグラス	crystal|glass	K_R_IH1_S_T_AH0_L|G_L_AE1_S
ナイチンゲール	nightingale	N_AY1_T_IH0_NG_G_EY0_L
ナイチンゲイル	nightingale	N_AY1_T_IH0_NG_G_EY0_L
ナイティンゲイル	nightingale	N_AY1_T_IH0_NG_G_EY0_L
ユニバーサリティ	universality	Y_UW2_N_AH0_V_ER0_S_AE1_L_AH0_T_IY0
タイア	tire	T_AY1_ER0
タンプラー	tumbler	T_AH1_M_B_L_ER0
クラッシック	classic	K_L_AE1_S_IH0_K
クラッシク	classic	K_L_AE1_S_IH0_K
プロセシング	processing	P_R_AA1_S_EH0_S_IH0_NG
バブルメモリ	bubble|memory	B_AH1_B_AH0_L|M_EH1_M_ER0_IY0
ディスクトップ	desktop	D_EH1_S_K_T_AA2_P
ポセイドーン	poseidon	P_AH0_S_AY1_D_AH0_N
セロ	cello	CH_EH1_L_OW0
インターナショナル	international	IH2_N_T_ER0_N_AE1_SH_AH0_N_AA0_L
ラブコール	love|call	L_AH1_V|K_AO1_L
ワウ	wow	W_AW1
ワオー	wow	W_AW1
ワオ	wow	W_AW1
ポーラル	polar	P_OW1_L_ER0
ポーラ	polar	P_OW1_L_ER0
セルビッチ	selvage	S_EH1_L_V_IH0_JH
グリース	grease	G_R_IY1_S
ネプチューン	neptune	N_EH1_P_T_UW0_N
メルコスール	mercosur	M_ER1_K_OW2_S_ER2
ウオーク	walk	W_AO1_K
ブール	boule	B_UW1_L
ビジター	visitor	V_IH1_Z_IH0_T_ER0
シンセサイザー	synthesizer	S_IH1_N_TH_AH0_S_AY2_Z_ER0
アンダーシャツ	undershirt	AH1_N_D_ER0_SH_ER2_T
リーダー	leader	L_IY1_D_ER0
グレイハウンド	greyhound	G_R_EY1_HH_AW2_N_D
トランスポンダー	transponder	T_R_AE0_N_S_P_AA1_N_D_ER0
アコーディオン	accordion	AH0_K_AO1_R_D_IY0_AH0_N
アコーデオン	accordion	AH0_K_AO1_R_D_IY0_AH0_N
マニアル	manual	M_AE1_N_Y_UW0_AH0_L
ライブ	live	L_AY1_V
リズムアンドブルース	rhythm|and|blues	R_IH1_DH_AH0_M|AH0_N_D|B_L_UW1_Z
ランウエイ	runway	R_AH1_N_W_EY2
ランウエー	runway	R_AH1_N_W_EY2
ランウェー	runway	R_AH1_N_W_EY2
トーチャー	torture	T_AO1_R_CH_ER0
ライナックス	linux	L_IH1_N_AH0_K_S
リナックス	linux	L_IH1_N_AH0_K_S
リヌクス	linux	L_IH1_N_AH0_K_S
リニクス	linux	L_IH1_N_AH0_K_S
モーションキャプチャ	motion|capture	M_OW1_SH_AH0_N|K_AE1_P_CH_ER0
システムインテグレータ	system|integrator	S_IH1_S_T_AH0_M|IH1_N_T_AH0_G_R_EY2_T_ER0
フリールーチン	free|routine	F_R_IY1|R_UW0_T_IY1_N
ウオーキング	walking	W_AO1_K_IH0_NG
レッグガーズ	leg|guards	L_EH1_G|G_AA1_R_D_Z
ヴァルキュリヤ	walkure	W_AO1_K_Y_ER0
ワルキューレ	walkure	W_AO1_K_Y_ER0
ヴァルキューレ	walkure	W_AO1_K_Y_ER0
フィナーレ	finale	F_AH0_N_AE1_L_IY0
クォータリー	quarterly	K_W_AO1_R_T_ER0_L_IY0
ツデー	today	T_AH0_D_EY1
バイナル	vinyl	V_AY1_N_AH0_L
ビニール	vinyl	V_AY1_N_AH0_L
ブルーマー	bloomers	B_L_UW1_M_ER0_Z
ブルーマーズ	bloomers	B_L_UW1_M_ER0_Z
ウォッシュアンドウエア	wash|and|wear	W_AA1_SH|AH0_N_D|W_EH1_R
ウォッシュアンドウェア	wash|and|wear	W_AA1_SH|AH0_N_D|W_EH1_R
エヴリバディ	everybody	EH1_V_R_IY0_B_AA2_D_IY0
